gauge_id,date,observed,caudal
4703002,2001-01-04,0.0,13.5
7330001,2001-01-04,0.0,
9127001,2001-01-04,0.0,5.64
4703002,2001-01-05,1.0,13.3
7330001,2001-01-05,1.0,
9127001,2001-01-05,0.0,5.55
4703002,2001-01-06,0.0,13.3
7330001,2001-01-06,3.0,
9127001,2001-01-06,0.0,5.73
4703002,2001-01-07,0.0,13.2
7330001,2001-01-07,0.0,
9127001,2001-01-07,4.0,6.16
4703002,2001-01-08,8.0,12.3
7330001,2001-01-08,24.0,
9127001,2001-01-08,72.0,7.78
4703002,2001-01-09,7.0,11.8
7330001,2001-01-09,3.0,
9127001,2001-01-09,24.0,10.9
4703002,2001-01-10,2.0,11.3
7330001,2001-01-10,48.0,
9127001,2001-01-10,242.0,12.1
4703002,2001-01-11,1.0,11.0
7330001,2001-01-11,0.0,
9127001,2001-01-11,0.0,10.3
4703002,2001-01-12,0.0,11.0
7330001,2001-01-12,0.0,
9127001,2001-01-12,0.0,9.3
4703002,2001-01-13,0.0,10.8
7330001,2001-01-13,0.0,
9127001,2001-01-13,16.0,8.54
4703002,2001-01-14,0.0,10.5
7330001,2001-01-14,0.0,
9127001,2001-01-14,0.0,7.96
4703002,2001-01-15,21.0,10.3
7330001,2001-01-15,0.0,
9127001,2001-01-15,0.0,7.5
4703002,2001-01-16,3.0,10.5
7330001,2001-01-16,0.0,
9127001,2001-01-16,0.0,7.24
4703002,2001-01-17,0.0,10.1
7330001,2001-01-17,1.0,8.0
9127001,2001-01-17,0.0,6.98
4703002,2001-01-18,1.0,9.84
7330001,2001-01-18,3.0,7.81
9127001,2001-01-18,0.0,6.69
4703002,2001-01-19,0.0,9.48
7330001,2001-01-19,1.0,7.44
9127001,2001-01-19,0.0,6.43
4703002,2001-01-20,0.0,9.39
7330001,2001-01-20,0.0,7.17
9127001,2001-01-20,0.0,6.33
4703002,2001-01-21,0.0,9.32
7330001,2001-01-21,0.0,6.93
9127001,2001-01-21,0.0,6.14
4703002,2001-01-22,0.0,9.17
7330001,2001-01-22,0.0,6.77
9127001,2001-01-22,0.0,6.08
4703002,2001-01-23,0.0,8.98
7330001,2001-01-23,0.0,6.56
9127001,2001-01-23,0.0,5.9
4703002,2001-01-24,0.0,8.7
7330001,2001-01-24,0.0,6.44
9127001,2001-01-24,0.0,5.81
4703002,2001-01-25,0.0,8.31
7330001,2001-01-25,0.0,6.17
9127001,2001-01-25,0.0,5.6
4703002,2001-01-26,0.0,8.42
7330001,2001-01-26,0.0,6.14
9127001,2001-01-26,0.0,5.55
4703002,2001-01-27,0.0,8.15
7330001,2001-01-27,0.0,5.99
9127001,2001-01-27,0.0,5.48
4703002,2001-01-28,0.0,7.96
7330001,2001-01-28,0.0,5.95
9127001,2001-01-28,7.0,5.29
4703002,2001-01-29,0.0,7.82
7330001,2001-01-29,1.0,5.84
9127001,2001-01-29,0.0,5.21
4703002,2001-01-30,1.0,7.45
7330001,2001-01-30,0.0,6.39
9127001,2001-01-30,0.0,6.65
4703002,2001-01-31,0.0,7.5
7330001,2001-01-31,300.0,20.5
9127001,2001-01-31,684.0,9.92
4703002,2001-02-01,3.0,7.24
7330001,2001-02-01,2.0,10.4
9127001,2001-02-01,28.0,6.76
4703002,2001-02-02,1.0,7.09
7330001,2001-02-02,0.0,8.38
9127001,2001-02-02,10.0,6.59
4703002,2001-02-03,0.0,7.07
7330001,2001-02-03,0.0,7.7
9127001,2001-02-03,1.0,6.35
4703002,2001-02-04,0.0,6.97
7330001,2001-02-04,0.0,7.14
9127001,2001-02-04,0.0,5.93
4703002,2001-02-05,0.0,6.66
7330001,2001-02-05,0.0,6.86
9127001,2001-02-05,0.0,5.67
4703002,2001-02-06,0.0,6.44
7330001,2001-02-06,1.0,6.54
9127001,2001-02-06,0.0,5.55
4703002,2001-02-07,0.0,6.24
7330001,2001-02-07,0.0,6.3
9127001,2001-02-07,0.0,5.36
4703002,2001-02-08,0.0,6.07
7330001,2001-02-08,1.0,6.14
9127001,2001-02-08,0.0,5.28
4703002,2001-02-09,0.0,5.97
7330001,2001-02-09,0.0,6.05
9127001,2001-02-09,0.0,5.27
4703002,2001-02-10,0.0,5.68
7330001,2001-02-10,0.0,6.28
9127001,2001-02-10,7.0,6.09
4703002,2001-02-11,0.0,5.43
7330001,2001-02-11,0.0,6.11
9127001,2001-02-11,0.0,5.28
4703002,2001-02-12,0.0,5.4
7330001,2001-02-12,0.0,5.89
9127001,2001-02-12,0.0,5.01
4703002,2001-02-13,0.0,5.39
7330001,2001-02-13,0.0,5.8
9127001,2001-02-13,0.0,5.01
4703002,2001-02-14,0.0,5.3
7330001,2001-02-14,0.0,5.78
9127001,2001-02-14,0.0,4.91
4703002,2001-02-15,0.0,5.24
7330001,2001-02-15,0.0,5.69
9127001,2001-02-15,0.0,4.74
4703002,2001-02-16,0.0,5.23
7330001,2001-02-16,0.0,5.54
9127001,2001-02-16,0.0,4.74
4703002,2001-02-17,45.0,6.45
7330001,2001-02-17,0.0,5.41
9127001,2001-02-17,0.0,4.62
4703002,2001-02-18,20.0,5.67
7330001,2001-02-18,0.0,5.39
9127001,2001-02-18,0.0,4.57
4703002,2001-02-19,11.0,5.16
7330001,2001-02-19,0.0,5.27
9127001,2001-02-19,0.0,4.55
4703002,2001-02-20,10.0,4.99
7330001,2001-02-20,0.0,5.16
9127001,2001-02-20,0.0,4.42
4703002,2001-02-21,7.0,5.02
7330001,2001-02-21,0.0,5.13
9127001,2001-02-21,1.0,4.39
4703002,2001-02-22,0.0,4.98
7330001,2001-02-22,1.0,5.02
9127001,2001-02-22,0.0,4.39
4703002,2001-02-23,2.0,5.02
7330001,2001-02-23,0.0,4.88
9127001,2001-02-23,0.0,4.39
4703002,2001-02-24,1.0,4.92
7330001,2001-02-24,0.0,4.92
9127001,2001-02-24,0.0,4.29
4703002,2001-02-25,0.0,4.84
7330001,2001-02-25,0.0,4.9
9127001,2001-02-25,0.0,4.21
4703002,2001-02-26,0.0,4.85
7330001,2001-02-26,0.0,4.8
9127001,2001-02-26,0.0,4.21
4703002,2001-02-27,0.0,4.85
7330001,2001-02-27,0.0,4.78
9127001,2001-02-27,0.0,4.21
4703002,2001-02-28,0.0,4.82
7330001,2001-02-28,0.0,4.76
9127001,2001-02-28,0.0,4.21
4703002,2001-03-01,0.0,4.83
7330001,2001-03-01,0.0,4.71
9127001,2001-03-01,0.0,4.5
4703002,2001-03-02,0.0,4.77
7330001,2001-03-02,1.0,4.69
9127001,2001-03-02,0.0,4.11
4703002,2001-03-03,0.0,4.71
7330001,2001-03-03,0.0,4.7
9127001,2001-03-03,0.0,4.04
4703002,2001-03-04,0.0,4.7
7330001,2001-03-04,0.0,4.71
9127001,2001-03-04,0.0,4.0
4703002,2001-03-05,11.0,4.67
7330001,2001-03-05,0.0,4.64
9127001,2001-03-05,0.0,3.97
4703002,2001-03-06,0.0,4.65
7330001,2001-03-06,0.0,4.52
9127001,2001-03-06,0.0,3.82
4703002,2001-03-07,0.0,4.59
7330001,2001-03-07,0.0,4.44
9127001,2001-03-07,0.0,3.69
4703002,2001-03-08,0.0,4.56
7330001,2001-03-08,0.0,4.39
9127001,2001-03-08,0.0,3.69
4703002,2001-03-09,0.0,4.55
7330001,2001-03-09,0.0,4.38
9127001,2001-03-09,0.0,3.71
4703002,2001-03-10,0.0,4.57
7330001,2001-03-10,0.0,4.42
9127001,2001-03-10,95.0,8.96
4703002,2001-03-11,0.0,4.5
7330001,2001-03-11,1.0,4.52
9127001,2001-03-11,625.0,8.47
4703002,2001-03-12,0.0,4.49
7330001,2001-03-12,0.0,4.5
9127001,2001-03-12,313.0,6.58
4703002,2001-03-13,0.0,4.49
7330001,2001-03-13,0.0,5.35
9127001,2001-03-13,125.0,7.45
4703002,2001-03-14,0.0,4.48
7330001,2001-03-14,0.0,6.91
9127001,2001-03-14,0.0,6.05
4703002,2001-03-15,0.0,4.48
7330001,2001-03-15,0.0,6.83
9127001,2001-03-15,0.0,5.4
4703002,2001-03-16,0.0,4.46
7330001,2001-03-16,0.0,6.77
9127001,2001-03-16,0.0,4.98
4703002,2001-03-17,0.0,4.51
7330001,2001-03-17,0.0,6.57
9127001,2001-03-17,0.0,4.72
4703002,2001-03-18,0.0,4.5
7330001,2001-03-18,0.0,6.2
9127001,2001-03-18,0.0,4.57
4703002,2001-03-19,1.0,4.51
7330001,2001-03-19,0.0,6.12
9127001,2001-03-19,0.0,4.57
4703002,2001-03-20,0.0,4.53
7330001,2001-03-20,0.0,5.87
9127001,2001-03-20,3.0,4.39
4703002,2001-03-21,4.0,4.66
7330001,2001-03-21,0.0,5.79
9127001,2001-03-21,0.0,4.39
4703002,2001-03-22,5.0,4.77
7330001,2001-03-22,0.0,5.74
9127001,2001-03-22,0.0,4.39
4703002,2001-03-23,20.0,4.75
7330001,2001-03-23,198.0,5.79
9127001,2001-03-23,0.0,4.22
4703002,2001-03-24,0.0,4.61
7330001,2001-03-24,184.0,5.81
9127001,2001-03-24,0.0,4.21
4703002,2001-03-25,1.0,4.55
7330001,2001-03-25,0.0,5.7
9127001,2001-03-25,0.0,4.09
4703002,2001-03-26,0.0,4.48
7330001,2001-03-26,0.0,5.64
9127001,2001-03-26,0.0,4.04
4703002,2001-03-27,2.0,4.48
7330001,2001-03-27,49.0,5.51
9127001,2001-03-27,0.0,4.04
4703002,2001-03-28,0.0,4.46
7330001,2001-03-28,0.0,5.51
9127001,2001-03-28,0.0,4.04
4703002,2001-03-29,0.0,4.43
7330001,2001-03-29,0.0,5.43
9127001,2001-03-29,0.0,4.04
4703002,2001-03-30,0.0,4.39
7330001,2001-03-30,0.0,5.37
9127001,2001-03-30,0.0,4.04
4703002,2001-03-31,0.0,4.46
7330001,2001-03-31,0.0,5.34
9127001,2001-03-31,0.0,3.95
4703002,2001-04-01,1.0,4.38
7330001,2001-04-01,0.0,5.32
